slug,url,source,words,published,clicks_90d,impr_90d,pos_90d,clicks_prev90,action,redirect_target,rationale
genie-lift-battery-replacement,/insights/genie-lift-battery-replacement,outrank,4537,2025-12-09,0,0,,0,REMOVE,/battery-chargers,"Outrank batch, 4537w, 0 impressions in 90 days after 273 days live."
genie-scissor-lift-error-codes,/insights/genie-scissor-lift-error-codes,legacy,2687,2024-10-14,0,0,,0,REMOVE,/parts/aerial-equipment/genie-scissor-lift-error-codes,"2687w legacy post, 0 impressions in 90 days after 694 days live."
how-long-does-forklift-certification-take,/insights/how-long-does-forklift-certification-take,outrank,2293,2025-11-21,0,0,,0,REMOVE,/safety,"Outrank batch, 2293w, 0 impressions in 90 days after 291 days live."
how-long-is-forklift-certification-good-for,/insights/how-long-is-forklift-certification-good-for,legacy,973,2024-10-14,0,0,,0,REMOVE,/safety,"973w legacy post, 0 impressions in 90 days after 694 days live."
how-much-is-a-forklift-license,/insights/how-much-is-a-forklift-license,outrank,2375,2025-11-11,0,0,,0,REMOVE,/safety,"Outrank batch, 2375w, 0 impressions in 90 days after 301 days live."
how-to-become-a-forklift-operator,/insights/how-to-become-a-forklift-operator,outrank,4580,2025-12-02,0,0,,0,REMOVE,/safety,"Outrank batch, 4580w, 0 impressions in 90 days after 280 days live."
importance-forklift-chains-maintenance-safety,/insights/importance-forklift-chains-maintenance-safety,legacy,574,2024-02-03,0,0,,0,REMOVE,/parts,"574-word legacy stub, 0 impressions in 90 days."
jcb-1400b-serial-number,/insights/jcb-1400b-serial-number,legacy,892,2024-07-24,0,0,,0,REMOVE,/brand/jcb/fault-codes,"892w legacy post, 0 impressions in 90 days after 776 days live."
jcb-3-cx-backhoe-wont-move-forward-or-reverse-solenoid-fix,/insights/jcb-3-cx-backhoe-wont-move-forward-or-reverse-solenoid-fix,outrank,4244,2025-12-10,0,0,,0,REMOVE,/brand/jcb/fault-codes,"Outrank batch, 4244w, 0 impressions in 90 days after 272 days live."
jcb-3-cx-steering-mode-switch-fault-crab-steer-fix,/insights/jcb-3-cx-steering-mode-switch-fault-crab-steer-fix,outrank,4349,2026-01-01,0,0,,0,REMOVE,/brand/jcb/fault-codes,"Outrank batch, 4349w, 0 impressions in 90 days after 250 days live."
jcb-4-cx-transmission-overheating-oil-cooler-and-filter-check,/insights/jcb-4-cx-transmission-overheating-oil-cooler-and-filter-check,outrank,4084,2025-12-16,0,0,,0,REMOVE,/brand/jcb/fault-codes,"Outrank batch, 4084w, 0 impressions in 90 days after 266 days live."
jcb-4-cx-transmission-solenoid-shift-faults-forward-reverse-fix,/insights/jcb-4-cx-transmission-solenoid-shift-faults-forward-reverse-fix,outrank,4544,2026-01-07,0,0,,0,REMOVE,/brand/jcb/fault-codes,"Outrank batch, 4544w, 0 impressions in 90 days after 244 days live."
jcb-ad-blue-def-crystallization-cleaning-and-pump-replacement,/insights/jcb-ad-blue-def-crystallization-cleaning-and-pump-replacement,outrank,3743,2025-12-20,0,0,,0,REMOVE,/brand/jcb/fault-codes,"Outrank batch, 3743w, 0 impressions in 90 days after 262 days live."
jcb-ad-blue-injector-cleaning-guide-bosch-denoxtronic-system,/insights/jcb-ad-blue-injector-cleaning-guide-bosch-denoxtronic-system,outrank,4017,2026-01-02,0,0,,0,REMOVE,/brand/jcb/fault-codes,"Outrank batch, 4017w, 0 impressions in 90 days after 249 days live."
jcb-engine-serial-number-lookup,/insights/jcb-engine-serial-number-lookup,legacy,789,2024-07-24,0,0,,0,REMOVE,/brand/jcb/fault-codes,"789w legacy post, 0 impressions in 90 days after 776 days live."
jcb-hydraulic-pump-noise-cavitation-vs-worn-bearings,/insights/jcb-hydraulic-pump-noise-cavitation-vs-worn-bearings,outrank,4052,2025-12-18,0,0,,0,REMOVE,/brand/jcb/fault-codes,"Outrank batch, 4052w, 0 impressions in 90 days after 264 days live."
jcb-loadall-wont-start-immobilizer-and-keypad-bypass,/insights/jcb-loadall-wont-start-immobilizer-and-keypad-bypass,outrank,4461,2025-12-15,0,0,,0,REMOVE,/brand/jcb/fault-codes,"Outrank batch, 4461w, 0 impressions in 90 days after 267 days live."
jcb-p-0107-atmospheric-pressure-sensor-location-and-swap,/insights/jcb-p-0107-atmospheric-pressure-sensor-location-and-swap,outrank,4465,2026-01-10,0,0,,0,REMOVE,/brand/jcb/fault-codes,"Outrank batch, 4465w, 0 impressions in 90 days after 241 days live."
jcb-parts-by-serial-number,/insights/jcb-parts-by-serial-number,legacy,977,2024-07-24,0,0,,0,REMOVE,/brand/jcb/fault-codes,"977w legacy post, 0 impressions in 90 days after 776 days live."
jcb-telehandler-models,/insights/jcb-telehandler-models,legacy,1581,2024-07-27,0,0,,0,REMOVE,/brand/jcb/fault-codes,"1581w legacy post, 0 impressions in 90 days after 773 days live."
jlg-0060048s-actuator,/insights/jlg-0060048s-actuator,legacy,2253,2025-05-12,0,0,,0,REMOVE,/jlg-serial-number-lookup,"2253w legacy post, 0 impressions in 90 days after 484 days live."
john-deere-250-skid-steer,/insights/john-deere-250-skid-steer,legacy,2475,2024-09-23,0,0,,0,REMOVE,/parts/construction-equipment-parts/john-deere-skid-steer-product-identification-number-lookup,"2475w legacy post, 0 impressions in 90 days after 715 days live."
john-deere-320-skid-steer,/insights/john-deere-320-skid-steer,legacy,1901,2024-09-23,0,0,,0,REMOVE,/parts/construction-equipment-parts/john-deere-skid-steer-product-identification-number-lookup,"1901w legacy post, 0 impressions in 90 days after 715 days live."
joystick-codes,/insights/joystick-codes,legacy,175,2024-08-14,0,0,,0,REMOVE,/parts,"175-word legacy stub, 0 impressions in 90 days."
lead-acid-vs-lithium-forklift-chargers,/insights/lead-acid-vs-lithium-forklift-chargers,legacy,1462,2025-08-19,0,0,,0,REMOVE,/battery-chargers,"1462w legacy post, 0 impressions in 90 days after 385 days live."
licencia-de-forklift,/insights/licencia-de-forklift,legacy,1890,2025-01-19,0,0,,0,REMOVE,/es/safety,"1890w legacy post, 0 impressions in 90 days after 597 days live."
lithium-forklift-battery-chargers-complete-guide,/insights/lithium-forklift-battery-chargers-complete-guide,legacy,1510,2025-08-19,0,0,,0,REMOVE,/battery-chargers,"1510w legacy post, 0 impressions in 90 days after 385 days live."
maximizing-efficiency-on-your-site-with-toro-buggy-parts,/insights/maximizing-efficiency-on-your-site-with-toro-buggy-parts,legacy,356,2024-01-23,0,0,,0,REMOVE,/parts,"356-word legacy stub, 0 impressions in 90 days."
mewp-certification,/insights/mewp-certification,legacy,2229,2025-05-12,0,0,,0,REMOVE,/safety,"2229w legacy post, 0 impressions in 90 days after 484 days live."
nissan-forklift-idle-circuit,/insights/nissan-forklift-idle-circuit,legacy,1580,2024-10-19,0,0,,0,REMOVE,/insights/e43-code-nissan-forklift,"1580w legacy post, 0 impressions in 90 days after 689 days live."
nissan-k21-forklift-engine,/insights/nissan-k21-forklift-engine,legacy,2002,2024-10-14,0,0,,0,REMOVE,/insights/e43-code-nissan-forklift,"2002w legacy post, 0 impressions in 90 days after 694 days live."
osha-forklift-inspection-checklist,/insights/osha-forklift-inspection-checklist,outrank,4854,2025-11-15,0,0,,0,REMOVE,/safety,"Outrank batch, 4854w, 0 impressions in 90 days after 297 days live."
osha-standard-for-forklift-training,/insights/osha-standard-for-forklift-training,outrank,4442,2025-11-16,0,0,,0,REMOVE,/safety,"Outrank batch, 4442w, 0 impressions in 90 days after 296 days live."
replacement-forklift-forks,/insights/replacement-forklift-forks,legacy,822,2024-02-24,0,0,,0,REMOVE,/parts/category/forks,"822w legacy post, 0 impressions in 90 days after 927 days live."
replacing-jcb-telehandler-wear-pads-boom-extension-guide,/insights/replacing-jcb-telehandler-wear-pads-boom-extension-guide,outrank,4277,2025-12-24,0,0,,0,REMOVE,/brand/jcb/fault-codes,"Outrank batch, 4277w, 0 impressions in 90 days after 258 days live."
safety-and-forklift-training,/insights/safety-and-forklift-training,outrank,3559,2025-11-10,0,0,,0,REMOVE,/safety,"Outrank batch, 3559w, 0 impressions in 90 days after 302 days live."
shaft-mounted-forks,/insights/shaft-mounted-forks,legacy,508,2024-02-24,0,0,,0,REMOVE,/parts/category/forks,"508-word legacy stub, 0 impressions in 90 days."
the-real-cause-of-most-forklift-accidents-operator-error-and-inadequate-training,/insights/the-real-cause-of-most-forklift-accidents-operator-error-and-inadequate-training,legacy,470,2025-10-30,0,0,,0,REMOVE,/safety,"470-word legacy stub, 0 impressions in 90 days."
toro-dingo-tx427,/insights/toro-dingo-tx427,legacy,2036,2024-07-31,0,0,,0,REMOVE,/parts,"2036w legacy post, 0 impressions in 90 days after 769 days live."
toyota-8-fgu-25-oil-filter-cross-reference,/insights/toyota-8-fgu-25-oil-filter-cross-reference,outrank,3138,2026-01-26,0,0,,0,REMOVE,/toyota-forklift-serial-lookup,"Outrank batch, 3138w, 0 impressions in 90 days after 225 days live."
toyota-forklift-mast-bearing-replacement,/insights/toyota-forklift-mast-bearing-replacement,outrank,4201,2026-02-04,0,0,,0,REMOVE,/toyota-forklift-serial-lookup,"Outrank batch, 4201w, 0 impressions in 90 days after 216 days live."
warehouse-equipment-forklift-parts,/insights/warehouse-equipment-forklift-parts,legacy,199,2024-02-24,0,0,,0,REMOVE,/parts,"199-word legacy stub, 0 impressions in 90 days."
what-are-forklift-forks-made-of-2,/insights/what-are-forklift-forks-made-of-2,legacy,437,2024-02-24,0,0,,0,REMOVE,/parts/category/forks,"437-word legacy stub, 0 impressions in 90 days."
what-is-a-scissor-lift-used-for,/insights/what-is-a-scissor-lift-used-for,outrank,3858,2025-11-29,0,0,,0,REMOVE,/parts,"Outrank batch, 3858w, 0 impressions in 90 days after 283 days live."
what-is-the-fuel-capacity-of-a-746b-bobcat,/insights/what-is-the-fuel-capacity-of-a-746b-bobcat,legacy,960,2024-09-23,0,0,,0,REMOVE,/bobcat-serial-number-lookup,"960w legacy post, 0 impressions in 90 days after 715 days live."
wyoming-telehandler-rental,/insights/wyoming-telehandler-rental,legacy,1141,2024-04-16,0,0,,0,REMOVE,/rent-equipment,"1141w legacy post, 0 impressions in 90 days after 875 days live."
your-bobcat-serial-number-how-to-find-and-use-it,/insights/your-bobcat-serial-number-how-to-find-and-use-it,legacy,4843,2024-08-24,0,0,,0,REMOVE,/bobcat-serial-number-lookup,"4843w legacy post, 0 impressions in 90 days after 745 days live."
zoomlion-excavator-specs,/insights/zoomlion-excavator-specs,legacy,95,2024-03-21,0,0,,0,REMOVE,/parts,"95-word legacy stub, 0 impressions in 90 days."
zoomlion,/insights/zoomlion,legacy,2211,2025-05-12,0,0,,0,REMOVE,/parts,"2211w legacy post, 0 impressions in 90 days after 484 days live."
